# CosMx Human Immuno-Oncology Protein Panel -- VERBATIM target list (raw, not cleaned)
# Source: Bruker Spatial Biology, file LBL-11122-06_Human-Protein-Immuno-Oncology-BSB.xlsx, sheet 'Protein Details'
# URL: https://brukerspatialbiology.com/wp-content/uploads/2023/02/LBL-11122-06_Human-Protein-Immuno-Oncology-BSB.xlsx
# Columns: ProteinName<TAB>Gene  (verbatim from cols 'Protein Name','Gene')
ProteinName	Gene
4-1BB	TNFRSF9
B7-H3	CD276
Bcl-2	BCL2
Beta-catenin	CTNNB1
CCR7	CCR7
CD11b	ITGAM
CD11c	ITGAX
CD123	IL3RA
CD127	IL7R
CD138	SDC1
CD14	CD14
CD15	FUT4
CD16	FCGR3A
CD163	CD163
CD19	CD19
CD20	MS4A1
CD27	CD27
CD3	CD3D, CD3G, CD3E
CD31	PECAM1
CD34	CD34
CD38	CD38
CD39	ENTPD1
CD4	CD4
CD40	CD40
CD45	PTPRC
CD45RA	PTPRC
CD56	NCAM1
CD68	CD68
CD8	CD8A
CTLA4	CTLA4
EGFR	EGFR
EpCAM	EPCAM
FABP4	FABP4
Fibronectin	FN1
FOXP3	FOXP3
GITR	TNFRSF18
GZMA	GZMA
GZMB	GZMB
Her2	ERBB2
HLA-DR	HLA-DRA
ICAM1	ICAM1
ICOS	ICOS
IDO1	IDO1
IgD	IGHD
IL-18	IL18
IL-1b	IL1B
iNOS	NOS2
Ki-67	MKI67
LAG3	LAG3
LAMP1	LAMP1
Ms IgG1	
NF-kB p65	RELA
p53	TP53
pan-RAS	KRAS, HRAS, NRAS
PD-1	PDCD1
PD-L1	CD274
PD-L2	PDCD1LG2
Rb IgG	
SMA	ACTA2
STING	STING1
TCF7	TCF7
Tim-3	HAVCR2
Vimentin	VIM
VISTA	VSIR
This panel includes Abcam® antibodies	
This panel includes Cell Signaling Technology® antibodies	
Abcam is a registered trade mark of Abcam plc	
Cell Signaling Technology is a registered trademark of Cell Signaling Technology, Inc.	
© 2025 Bruker Spatial Biology, all rights reserved	
