Isotope,Epitope
In113,Histone H3
In115,SMA
Pr141,CK5
Nd142,CD38
Nd143,HLA-DR
Nd144,CK8-18
Nd145,CD15
Nd146,FSP1
Sm147,CD163
Nd148,ICOS
Sm149,OX40
Nd150,CD68
Eu151,HER2 (3B5)
Sm152,CD3
Eu153,Podoplanin
Sm154,CD11c
Gd155,PD-1
Gd156,GITR
Gd158,CD16
Tb159,HER2 (D8F12)
Gd160,CD45RA
Dy161,B2M
Dy162,CD45RO
Dy163,FOXP3
Dy164,CD20
Ho165,ER
Er166,CD8
Er167,CD57
Er168,Ki-67
Tm169,PDGFRB
Er170,Caveolin-1
Yb171,CD4
Yb172,CD31-vWF
Yb173,CXCL12
Yb174,HLA-ABC
Lu175,panCK
Yb176,c-Caspase3c-PARP
Ir191,DNA1
Ir193,DNA2
